month,day,year,Temperature,RH,Ws
6,1,2012,29,57,18
6,2,2012,29,61,13
6,3,2012,26,82,22
6,4,2012,25,89,13
6,5,2012,27,77,16
6,6,2012,31,67,14
6,7,2012,33,54,13
6,8,2012,30,73,15
6,9,2012,25,88,13
6,10,2012,28,79,12
6,11,2012,31,65,14
6,12,2012,26,81,19
6,13,2012,27,84,21
6,14,2012,30,78,20
6,15,2012,28,80,17
6,16,2012,29,89,13
6,17,2012,30,89,16
6,18,2012,31,78,14
6,19,2012,31,55,16
6,20,2012,30,80,16
6,21,2012,30,78,14
6,22,2012,31,67,17
6,23,2012,32,62,18
6,24,2012,32,66,17
6,25,2012,31,64,15
6,26,2012,31,64,18
6,27,2012,34,53,18
6,28,2012,32,55,14
6,29,2012,32,47,13
6,30,2012,33,50,14
7,1,2012,29,68,19
7,2,2012,27,75,19
7,3,2012,32,76,20
7,4,2012,33,78,17
7,5,2012,33,66,14
7,6,2012,32,63,14
7,7,2012,35,64,18
7,8,2012,33,68,19
7,9,2012,32,68,14
7,10,2012,33,69,13
7,11,2012,33,76,14
7,12,2012,31,75,13
7,13,2012,34,81,15
7,14,2012,34,61,13
7,15,2012,30,80,19
7,16,2012,28,76,21
7,17,2012,29,70,14
7,18,2012,31,68,14
7,19,2012,35,59,17
7,20,2012,33,65,15
7,21,2012,33,70,17
7,22,2012,28,79,18
7,23,2012,27,66,22
7,24,2012,28,78,16
7,25,2012,31,65,18
7,26,2012,36,53,19
7,27,2012,36,48,13
7,28,2012,33,76,15
7,29,2012,32,73,15
7,30,2012,31,79,15
7,31,2012,35,64,17
8,1,2012,36,45,14
8,2,2012,35,55,12
8,3,2012,35,63,14
8,4,2012,34,69,13
8,5,2012,34,65,13
8,6,2012,32,75,14
8,7,2012,32,69,16
8,8,2012,32,60,18
8,9,2012,35,59,17
8,10,2012,35,55,14
8,11,2012,35,63,13
8,12,2012,35,51,13
8,13,2012,35,63,15
8,14,2012,33,66,14
8,15,2012,36,55,13
8,16,2012,36,61,18
8,17,2012,37,52,18
8,18,2012,36,54,18
8,19,2012,35,62,19
8,20,2012,35,68,19
8,21,2012,36,58,19
8,22,2012,36,55,18
8,23,2012,36,53,16
8,24,2012,34,64,14
8,25,2012,35,60,15
8,26,2012,31,78,18
8,27,2012,33,82,21
8,28,2012,34,64,16
8,29,2012,35,48,18
8,30,2012,35,70,17
8,31,2012,28,80,21
9,1,2012,25,76,17
9,2,2012,22,86,15
9,3,2012,25,78,15
9,4,2012,29,73,17
9,5,2012,29,75,16
9,6,2012,29,74,19
9,7,2012,31,71,17
9,8,2012,30,73,17
9,9,2012,30,77,15
9,10,2012,33,73,12
9,11,2012,30,77,21
9,12,2012,29,88,13
9,13,2012,25,86,21
9,14,2012,22,76,26
9,15,2012,24,82,15
9,16,2012,30,65,14
9,17,2012,31,52,14
9,18,2012,32,49,11
9,19,2012,29,57,14
9,20,2012,28,84,18
9,21,2012,31,55,11
9,22,2012,31,50,19
9,23,2012,32,54,11
9,24,2012,29,65,19
9,25,2012,26,81,21
9,26,2012,31,54,11
9,27,2012,31,66,11
9,28,2012,32,47,14
9,29,2012,26,80,16
9,30,2012,25,78,14
6,1,2012,32,71,12
6,2,2012,30,73,13
6,3,2012,29,80,14
6,4,2012,30,64,14
6,5,2012,32,60,14
6,6,2012,35,54,11
6,7,2012,35,44,17
6,8,2012,28,51,17
6,9,2012,27,59,18
6,10,2012,30,41,15
6,11,2012,31,42,21
6,12,2012,27,58,17
6,13,2012,30,52,15
6,14,2012,27,79,16
6,15,2012,28,90,15
6,16,2012,29,87,15
6,17,2012,31,69,17
6,18,2012,33,62,10
6,19,2012,32,67,14
6,20,2012,31,72,14
6,21,2012,32,55,14
6,22,2012,33,46,14
6,23,2012,33,59,16
6,24,2012,35,68,16
6,25,2012,34,70,16
6,26,2012,36,62,16
6,27,2012,36,55,15
6,28,2012,37,37,13
6,29,2012,37,36,13
6,30,2012,34,42,15
7,1,2012,28,58,18
7,2,2012,33,48,16
7,3,2012,34,56,17
7,4,2012,34,58,18
7,5,2012,34,45,18
7,6,2012,35,42,15
7,7,2012,38,43,13
7,8,2012,35,47,18
7,9,2012,36,43,15
7,10,2012,34,51,16
7,11,2012,34,56,15
7,12,2012,36,44,13
7,13,2012,39,45,13
7,15,2012,34,45,17
7,16,2012,31,83,17
7,17,2012,32,81,17
7,18,2012,33,68,15
7,19,2012,34,58,16
7,20,2012,36,50,16
7,21,2012,36,29,18
7,22,2012,32,48,18
7,23,2012,31,71,17
7,24,2012,33,63,17
7,25,2012,39,64,9
7,26,2012,35,58,10
7,27,2012,29,87,18
7,28,2012,33,57,16
7,29,2012,34,59,16
7,30,2012,36,56,16
7,31,2012,37,55,15
8,1,2012,38,52,14
8,2,2012,40,34,14
8,3,2012,39,33,17
8,4,2012,38,35,15
8,5,2012,34,42,17
8,6,2012,30,54,14
8,7,2012,34,63,13
8,8,2012,37,56,11
8,9,2012,39,43,12
8,10,2012,39,39,15
8,11,2012,40,31,15
8,12,2012,39,21,17
8,13,2012,35,34,16
8,14,2012,37,40,13
8,15,2012,35,46,13
8,16,2012,40,41,10
8,17,2012,42,24,9
8,18,2012,37,37,14
8,19,2012,35,66,15
8,20,2012,36,81,15
8,21,2012,36,71,15
8,22,2012,37,53,14
8,23,2012,36,43,16
8,24,2012,35,38,15
8,25,2012,34,40,18
8,26,2012,33,37,16
8,27,2012,36,54,14
8,28,2012,35,56,14
8,29,2012,35,53,17
8,30,2012,34,49,15
8,31,2012,30,59,19
9,1,2012,29,86,16
9,2,2012,28,67,19
9,3,2012,28,75,16
9,4,2012,30,66,15
9,5,2012,30,58,12
9,6,2012,34,71,14
9,7,2012,31,62,15
9,8,2012,30,88,14
9,9,2012,30,80,15
9,10,2012,29,74,15
9,11,2012,30,73,14
9,12,2012,31,72,14
9,13,2012,29,49,19
9,14,2012,28,81,15
9,15,2012,32,51,13
9,16,2012,33,26,13
9,17,2012,34,44,12
9,18,2012,36,33,13
9,19,2012,29,41,8
9,20,2012,34,58,13
9,21,2012,35,34,17
9,22,2012,33,64,13
9,23,2012,35,56,14
9,24,2012,26,49,6
9,25,2012,28,70,15
9,26,2012,30,65,14
9,27,2012,28,87,15
9,28,2012,27,87,29
9,29,2012,24,54,18
9,30,2012,24,64,15
